mettler et al 1977,,,,,,,
Location,lat,In(2L)t,In(2R)NS,In(3L)P,In(3R)P,month,year
Miami.Fl.,25.87,0.246,0.316,0.149,0.474,3,1971
Miami.Fl.,25.87,0.253,0.235,0.11,0.417,6,1971
Lake Placid.Fl.,27.17,0.186,0.214,0.059,0.793,12,1971
Lake Wales.Fl.,27.92,0.150,0.183,0.046,0.804,5,1974
Orlando.Fl,28.50,0.185,0.225,,,12,1971
Jacksonville.Fl.,30.25,0.144,0.264,0.088,0.212,9,1971
Jacksonville.Fl.,30.25,0.099,0.133,0.046,0.194,11,1971
Columbia.S.C.,34.00,0.080,0.08,0.01,0.13,8,1971
Angier.N.C.,35.50,0.054,0.096,0.016,0.118,10,1971
Raleigh.N.C.,35.77,0.076,0.095,,,9,1968
Raleigh.N.C.,35.77,0.021,0.10,,,6,1969
Raleigh.N.C.,35.77,0.036,0.13,0.033,0.112,9,1969
Raleigh.N.C.,35.77,0.051,0.086,0.018,0.118,7,1970
Knoxville.Tenn.,35.97,0.042,0.126,0.02,0.112,7,1970
Winchester.Va.,39.23,0.000,0.07,0.07,0.14,9,1971
Wachapreague.Va.,37.67,0.023,0,0,0.015,7,1971
Niagara Falls.N.Y.,43.08,0.000,0,0.005,0,9,1971
Portland.Me.,43.67,0.024,0.032,0.016,0.032,8,1971